date,ISR,q50,q_up,q_down
2020-06-24,35.67759822385208,4.945192839855287,9.866039478432507,1.2939222556646492
2020-06-25,37.302893498976694,4.90398289952316,9.828034703862274,1.3715575910045281
2020-06-26,38.83351137943386,4.772111090460352,8.798105313008957,1.4130647756625028
2020-06-27,43.99342938881008,5.197936072850007,10.997329893188994,1.4663879747441066
2020-06-28,46.97576732083486,5.037056238765091,10.533496931707553,1.6333413496600333
2020-06-29,53.00356144799607,5.5198411817777195,10.088522116721215,1.9262163502887286
2020-06-30,58.88933948315609,5.082265053085977,8.930387617831608,2.043034103661088
2020-07-01,66.47931062233029,5.193068089939877,9.317897342373138,2.0954195934985522
2020-07-02,73.32764216994278,5.927229503170667,10.721759790618197,1.833492144311233
2020-07-03,82.92161816291139,5.63439486850266,10.24593168206011,2.0168413587423566
2020-07-04,90.7167236571984,5.61515755673615,10.712413124495368,2.0815199536237357
2020-07-05,97.880646520369055,5.386337450970332,10.845693536619727,2.0034581290073166
2020-07-06,99.53750092704948,5.296673173046128,10.33159778047025,1.9947899555560797
2020-07-07,110.10980999824848,5.681419408376355,10.540804589109056,1.8791499581325393
2020-07-08,115.19083017873515,6.584732666958246,10.299412117602744,1.8791499581325393
2020-07-09,122.73346262057561,7.366932708121805,10.312571888122289,2.3899283043914257
2020-07-10,129.56601460241018,7.282449534863527,10.205212871894776,2.823480585047765
2020-07-11,130.87571856197664,7.4679382030507995,10.205212871894776,2.948819934300292
2020-07-12,137.47157705714255,7.426132951023543,10.205212871894776,2.9199099349444064
2020-07-13,155.94944858307392,8.073305614984054,10.512492506308828,3.3429541231171673
2020-07-14,159.97323785644065,7.693867071452112,10.809231733694217,3.288462312463946
2020-07-15,167.75256378494979,7.868293254984289,10.829033485104182,3.293528452941085
2020-07-16,177.26764194902884,7.980073947080423,11.833756086321557,3.2529241750814104
2020-07-17,176.62067975213458,8.367787096671622,11.74776694664063,3.0927455467330254
2020-07-18,187.7926123228941,8.367787096671622,12.713336832665886,2.8127987515546042
2020-07-19,183.3427747735238,8.32593047878901,12.19836622678575,2.719483153161798
2020-07-20,179.42944246060236,8.250684835058426,12.793800989834656,2.4795287572945806
2020-07-21,184.33688741753204,8.747306083680275,13.556733202178274,2.9597801758167046
2020-07-22,187.7294940597825,9.183730817317656,14.660996980196124,3.4312495843538793
2020-07-23,188.13976277000808,9.503524803172633,15.906177545637442,3.6145987987850026
2020-07-24,189.60726238735361,9.898564432758192,17.927922334687317,3.324649925926799
2020-07-25,178.51422764548366,9.913627997008854,18.168925024772737,3.44028992335034
2020-07-26,184.1001939308634,10.904150211880909,18.278242095899905,3.4981099220621106
2020-07-27,189.0707571509047,10.566228701157463,17.444887593047326,3.6426599188415367
2020-07-28,193.31546034516222,11.04426400901014,18.236574370757282,3.6715699181974224
2020-07-29,192.73161641137958,11.167668527707885,18.29213133761412,3.555929920773882
2020-07-30,190.20688588691416,11.260133124533434,19.431049158179313,4.311960669080967
2020-07-31,181.3861086170631,11.33718695522139,19.19708364582499,4.559133521477131
2020-08-01,182.096189077069,11.465610006367985,19.66768273452702,5.133778004071452
2020-08-02,171.35030478231297,11.321622344472434,19.05377167551687,4.845936897286599
2020-08-03,164.81756455025868,11.29392234019106,19.467575812896982,5.395980560793041
2020-08-04,156.29659903018788,12.108819017476318,21.69291259083186,5.70743679013755
2020-08-05,151.79942278348383,12.308065221889647,20.2309038895822,6.363054545335122
2020-08-06,150.26880490302668,12.58120189529843,18.974920713809144,6.945321513892033
